Year,Suburb,Sex,Age Group,Population
06/30/2016 12:00:00 AM,Hall       ,MALE,0-10,13
06/30/2016 12:00:00 AM,Hall       ,MALE,11-20,26
06/30/2016 12:00:00 AM,Hall       ,MALE,21-30,13
06/30/2016 12:00:00 AM,Hall       ,MALE,31-40,19
06/30/2016 12:00:00 AM,Hall       ,MALE,41-50,23
06/30/2016 12:00:00 AM,Hall       ,MALE,51-60,16
06/30/2016 12:00:00 AM,Hall       ,MALE,60+,58
06/30/2019 12:00:00 AM,Melba      ,FEMALE,0-10,266
06/30/2019 12:00:00 AM,Melba      ,FEMALE,11-20,172
06/30/2019 12:00:00 AM,Melba      ,FEMALE,21-30,152
06/30/2019 12:00:00 AM,Melba      ,FEMALE,31-40,219
06/30/2019 12:00:00 AM,Melba      ,FEMALE,41-50,231
06/30/2019 12:00:00 AM,Melba      ,FEMALE,51-60,152
06/30/2019 12:00:00 AM,Melba      ,FEMALE,60+,372
06/30/2019 12:00:00 AM,Melba      ,MALE,0-10,274
06/30/2019 12:00:00 AM,Melba      ,MALE,11-20,150
06/30/2019 12:00:00 AM,Melba      ,MALE,21-30,162
06/30/2019 12:00:00 AM,Melba      ,MALE,31-40,211
06/30/2019 12:00:00 AM,Melba      ,MALE,41-50,236
06/30/2019 12:00:00 AM,Melba      ,MALE,51-60,143
06/30/2019 12:00:00 AM,Melba      ,MALE,60+,369
06/30/2020 12:00:00 AM,Melba      ,FEMALE,0-10,262
06/30/2020 12:00:00 AM,Melba      ,FEMALE,11-20,173
06/30/2020 12:00:00 AM,Melba      ,FEMALE,21-30,147
06/30/2020 12:00:00 AM,Melba      ,FEMALE,31-40,214
06/30/2020 12:00:00 AM,Melba      ,FEMALE,41-50,233
06/30/2020 12:00:00 AM,Melba      ,FEMALE,51-60,150
06/30/2020 12:00:00 AM,Melba      ,FEMALE,60+,374
06/30/2020 12:00:00 AM,Melba      ,MALE,0-10,271
06/30/2020 12:00:00 AM,Melba      ,MALE,11-20,148
06/30/2020 12:00:00 AM,Melba      ,MALE,21-30,157
06/30/2020 12:00:00 AM,Melba      ,MALE,31-40,208
06/30/2020 12:00:00 AM,Melba      ,MALE,41-50,239
06/30/2020 12:00:00 AM,Melba      ,MALE,51-60,142
06/30/2020 12:00:00 AM,Melba      ,MALE,60+,363
06/30/2015 12:00:00 AM,Page       ,FEMALE,0-10,178
06/30/2015 12:00:00 AM,Page       ,FEMALE,11-20,138
06/30/2015 12:00:00 AM,Page       ,FEMALE,21-30,232
06/30/2015 12:00:00 AM,Page       ,FEMALE,31-40,272
06/30/2015 12:00:00 AM,Page       ,FEMALE,41-50,169
06/30/2015 12:00:00 AM,Page       ,FEMALE,51-60,130
06/30/2015 12:00:00 AM,Page       ,FEMALE,60+,491
06/30/2015 12:00:00 AM,Page       ,MALE,0-10,221
06/30/2015 12:00:00 AM,Page       ,MALE,11-20,121
06/30/2015 12:00:00 AM,Page       ,MALE,21-30,193
06/30/2015 12:00:00 AM,Page       ,MALE,31-40,234
06/30/2015 12:00:00 AM,Page       ,MALE,41-50,142
06/30/2015 12:00:00 AM,Page       ,MALE,51-60,100
06/30/2015 12:00:00 AM,Page       ,MALE,60+,302
06/30/2016 12:00:00 AM,Page       ,FEMALE,0-10,182
06/30/2016 12:00:00 AM,Page       ,FEMALE,11-20,135
06/30/2016 12:00:00 AM,Page       ,FEMALE,21-30,225
06/30/2016 12:00:00 AM,Page       ,FEMALE,31-40,278
06/30/2016 12:00:00 AM,Page       ,FEMALE,41-50,165
06/30/2016 12:00:00 AM,Page       ,FEMALE,51-60,125
06/30/2016 12:00:00 AM,Page       ,FEMALE,60+,481
06/30/2016 12:00:00 AM,Page       ,MALE,0-10,226
06/30/2016 12:00:00 AM,Page       ,MALE,11-20,124
06/30/2016 12:00:00 AM,Page       ,MALE,21-30,191
06/30/2016 12:00:00 AM,Page       ,MALE,31-40,239
06/30/2016 12:00:00 AM,Page       ,MALE,41-50,144
06/30/2016 12:00:00 AM,Page       ,MALE,51-60,105
06/30/2016 12:00:00 AM,Page       ,MALE,60+,292
06/30/2017 12:00:00 AM,Page       ,FEMALE,0-10,180
06/30/2017 12:00:00 AM,Page       ,FEMALE,11-20,139
06/30/2017 12:00:00 AM,Page       ,FEMALE,21-30,222
06/30/2017 12:00:00 AM,Page       ,FEMALE,31-40,274
06/30/2017 12:00:00 AM,Page       ,FEMALE,41-50,169
06/30/2017 12:00:00 AM,Page       ,FEMALE,51-60,124
06/30/2017 12:00:00 AM,Page       ,FEMALE,60+,468
06/30/2017 12:00:00 AM,Page       ,MALE,0-10,224
06/30/2017 12:00:00 AM,Page       ,MALE,11-20,134
06/30/2017 12:00:00 AM,Page       ,MALE,21-30,184
06/30/2017 12:00:00 AM,Page       ,MALE,31-40,247
06/30/2017 12:00:00 AM,Page       ,MALE,41-50,151
06/30/2017 12:00:00 AM,Page       ,MALE,51-60,102
06/30/2017 12:00:00 AM,Page       ,MALE,60+,285
06/30/2018 12:00:00 AM,Page       ,FEMALE,0-10,180
06/30/2018 12:00:00 AM,Page       ,FEMALE,11-20,136
06/30/2018 12:00:00 AM,Page       ,FEMALE,21-30,219
06/30/2018 12:00:00 AM,Page       ,FEMALE,31-40,267
06/30/2018 12:00:00 AM,Page       ,FEMALE,41-50,179
06/30/2018 12:00:00 AM,Page       ,FEMALE,51-60,122
06/30/2018 12:00:00 AM,Page       ,FEMALE,60+,460
06/30/2018 12:00:00 AM,Page       ,MALE,0-10,219
06/30/2018 12:00:00 AM,Page       ,MALE,11-20,146
06/30/2018 12:00:00 AM,Page       ,MALE,21-30,180
06/30/2018 12:00:00 AM,Page       ,MALE,31-40,252
06/30/2018 12:00:00 AM,Page       ,MALE,41-50,150
06/30/2018 12:00:00 AM,Page       ,MALE,51-60,104
06/30/2018 12:00:00 AM,Page       ,MALE,60+,284
06/30/2019 12:00:00 AM,Page       ,FEMALE,0-10,179
06/30/2019 12:00:00 AM,Page       ,FEMALE,11-20,136
06/30/2019 12:00:00 AM,Page       ,FEMALE,21-30,213
06/30/2019 12:00:00 AM,Page       ,FEMALE,31-40,268
06/30/2019 12:00:00 AM,Page       ,FEMALE,41-50,183
06/30/2019 12:00:00 AM,Page       ,FEMALE,51-60,123
06/30/2019 12:00:00 AM,Page       ,FEMALE,60+,450
06/30/2019 12:00:00 AM,Page       ,MALE,0-10,219
06/30/2019 12:00:00 AM,Page       ,MALE,11-20,154
06/30/2019 12:00:00 AM,Page       ,MALE,21-30,177
06/30/2019 12:00:00 AM,Page       ,MALE,31-40,254
06/30/2019 12:00:00 AM,Page       ,MALE,41-50,150
06/30/2019 12:00:00 AM,Page       ,MALE,51-60,106
06/30/2019 12:00:00 AM,Page       ,MALE,60+,284
06/30/2017 12:00:00 AM,Hall       ,FEMALE,0-10,13
06/30/2017 12:00:00 AM,Hall       ,FEMALE,11-20,25
06/30/2017 12:00:00 AM,Hall       ,FEMALE,21-30,11
06/30/2017 12:00:00 AM,Hall       ,FEMALE,31-40,29
06/30/2017 12:00:00 AM,Hall       ,FEMALE,41-50,24
06/30/2017 12:00:00 AM,Hall       ,FEMALE,51-60,23
06/30/2017 12:00:00 AM,Hall       ,FEMALE,60+,46
06/30/2017 12:00:00 AM,Hall       ,MALE,0-10,13
06/30/2017 12:00:00 AM,Hall       ,MALE,11-20,26
06/30/2017 12:00:00 AM,Hall       ,MALE,21-30,13
06/30/2017 12:00:00 AM,Hall       ,MALE,31-40,19
06/30/2017 12:00:00 AM,Hall       ,MALE,41-50,23
06/30/2017 12:00:00 AM,Hall       ,MALE,51-60,16
06/30/2017 12:00:00 AM,Hall       ,MALE,60+,58
06/30/2020 12:00:00 AM,Page       ,FEMALE,0-10,183
06/30/2020 12:00:00 AM,Page       ,FEMALE,11-20,136
06/30/2020 12:00:00 AM,Page       ,FEMALE,21-30,208
06/30/2020 12:00:00 AM,Page       ,FEMALE,31-40,268
06/30/2020 12:00:00 AM,Page       ,FEMALE,41-50,184
06/30/2020 12:00:00 AM,Page       ,FEMALE,51-60,121
06/30/2020 12:00:00 AM,Page       ,FEMALE,60+,443
06/30/2020 12:00:00 AM,Page       ,MALE,0-10,215
06/30/2020 12:00:00 AM,Page       ,MALE,11-20,162
06/30/2020 12:00:00 AM,Page       ,MALE,21-30,178
06/30/2020 12:00:00 AM,Page       ,MALE,31-40,254
06/30/2020 12:00:00 AM,Page       ,MALE,41-50,153
06/30/2020 12:00:00 AM,Page       ,MALE,51-60,106
06/30/2020 12:00:00 AM,Page       ,MALE,60+,284
06/30/2015 12:00:00 AM,Scullin    ,FEMALE,0-10,219
06/30/2015 12:00:00 AM,Scullin    ,FEMALE,11-20,145
06/30/2015 12:00:00 AM,Scullin    ,FEMALE,21-30,224
06/30/2015 12:00:00 AM,Scullin    ,FEMALE,31-40,182
06/30/2015 12:00:00 AM,Scullin    ,FEMALE,41-50,192
06/30/2015 12:00:00 AM,Scullin    ,FEMALE,51-60,122
06/30/2015 12:00:00 AM,Scullin    ,FEMALE,60+,294
06/30/2015 12:00:00 AM,Scullin    ,MALE,0-10,264
06/30/2015 12:00:00 AM,Scullin    ,MALE,11-20,100
06/30/2015 12:00:00 AM,Scullin    ,MALE,21-30,294
06/30/2015 12:00:00 AM,Scullin    ,MALE,31-40,289
06/30/2015 12:00:00 AM,Scullin    ,MALE,41-50,192
06/30/2015 12:00:00 AM,Scullin    ,MALE,51-60,117
06/30/2015 12:00:00 AM,Scullin    ,MALE,60+,223
06/30/2016 12:00:00 AM,Scullin    ,FEMALE,0-10,224
06/30/2016 12:00:00 AM,Scullin    ,FEMALE,11-20,138
06/30/2016 12:00:00 AM,Scullin    ,FEMALE,21-30,224
06/30/2016 12:00:00 AM,Scullin    ,FEMALE,31-40,189
06/30/2016 12:00:00 AM,Scullin    ,FEMALE,41-50,186
06/30/2016 12:00:00 AM,Scullin    ,FEMALE,51-60,119
06/30/2016 12:00:00 AM,Scullin    ,FEMALE,60+,288
06/30/2016 12:00:00 AM,Scullin    ,MALE,0-10,267
06/30/2016 12:00:00 AM,Scullin    ,MALE,11-20,108
06/30/2016 12:00:00 AM,Scullin    ,MALE,21-30,289
06/30/2016 12:00:00 AM,Scullin    ,MALE,31-40,281
06/30/2016 12:00:00 AM,Scullin    ,MALE,41-50,190
06/30/2016 12:00:00 AM,Scullin    ,MALE,51-60,109
06/30/2016 12:00:00 AM,Scullin    ,MALE,60+,233
06/30/2017 12:00:00 AM,Scullin    ,FEMALE,0-10,230
06/30/2017 12:00:00 AM,Scullin    ,FEMALE,11-20,132
06/30/2017 12:00:00 AM,Scullin    ,FEMALE,21-30,227
06/30/2017 12:00:00 AM,Scullin    ,FEMALE,31-40,193
06/30/2017 12:00:00 AM,Scullin    ,FEMALE,41-50,182
06/30/2017 12:00:00 AM,Scullin    ,FEMALE,51-60,117
06/30/2017 12:00:00 AM,Scullin    ,FEMALE,60+,282
06/30/2017 12:00:00 AM,Scullin    ,MALE,0-10,269
06/30/2017 12:00:00 AM,Scullin    ,MALE,11-20,112
06/30/2017 12:00:00 AM,Scullin    ,MALE,21-30,280
06/30/2017 12:00:00 AM,Scullin    ,MALE,31-40,286
06/30/2017 12:00:00 AM,Scullin    ,MALE,41-50,180
06/30/2017 12:00:00 AM,Scullin    ,MALE,51-60,116
06/30/2017 12:00:00 AM,Scullin    ,MALE,60+,232
06/30/2018 12:00:00 AM,Scullin    ,FEMALE,0-10,241
06/30/2018 12:00:00 AM,Scullin    ,FEMALE,11-20,127
06/30/2018 12:00:00 AM,Scullin    ,FEMALE,21-30,220
06/30/2018 12:00:00 AM,Scullin    ,FEMALE,31-40,198
06/30/2018 12:00:00 AM,Scullin    ,FEMALE,41-50,180
06/30/2018 12:00:00 AM,Scullin    ,FEMALE,51-60,110
06/30/2018 12:00:00 AM,Scullin    ,FEMALE,60+,283
06/30/2018 12:00:00 AM,Scullin    ,MALE,0-10,268
06/30/2018 12:00:00 AM,Scullin    ,MALE,11-20,119
06/30/2018 12:00:00 AM,Scullin    ,MALE,21-30,272
06/30/2018 12:00:00 AM,Scullin    ,MALE,31-40,283
06/30/2018 12:00:00 AM,Scullin    ,MALE,41-50,175
06/30/2018 12:00:00 AM,Scullin    ,MALE,51-60,125
06/30/2018 12:00:00 AM,Scullin    ,MALE,60+,231
06/30/2019 12:00:00 AM,Scullin    ,FEMALE,0-10,245
06/30/2019 12:00:00 AM,Scullin    ,FEMALE,11-20,125
06/30/2019 12:00:00 AM,Scullin    ,FEMALE,21-30,220
06/30/2019 12:00:00 AM,Scullin    ,FEMALE,31-40,202
06/30/2019 12:00:00 AM,Scullin    ,FEMALE,41-50,174
06/30/2019 12:00:00 AM,Scullin    ,FEMALE,51-60,112
06/30/2019 12:00:00 AM,Scullin    ,FEMALE,60+,278
06/30/2019 12:00:00 AM,Scullin    ,MALE,0-10,273
06/30/2019 12:00:00 AM,Scullin    ,MALE,11-20,120
06/30/2019 12:00:00 AM,Scullin    ,MALE,21-30,263
06/30/2019 12:00:00 AM,Scullin    ,MALE,31-40,284
06/30/2019 12:00:00 AM,Scullin    ,MALE,41-50,179
06/30/2019 12:00:00 AM,Scullin    ,MALE,51-60,122
06/30/2019 12:00:00 AM,Scullin    ,MALE,60+,231
06/30/2020 12:00:00 AM,Scullin    ,FEMALE,0-10,250
06/30/2020 12:00:00 AM,Scullin    ,FEMALE,11-20,125
06/30/2020 12:00:00 AM,Scullin    ,FEMALE,21-30,214
06/30/2020 12:00:00 AM,Scullin    ,FEMALE,31-40,204
06/30/2020 12:00:00 AM,Scullin    ,FEMALE,41-50,173
06/30/2020 12:00:00 AM,Scullin    ,FEMALE,51-60,108
06/30/2020 12:00:00 AM,Scullin    ,FEMALE,60+,280
06/30/2020 12:00:00 AM,Scullin    ,MALE,0-10,270
06/30/2020 12:00:00 AM,Scullin    ,MALE,11-20,126
06/30/2020 12:00:00 AM,Scullin    ,MALE,21-30,258
06/30/2020 12:00:00 AM,Scullin    ,MALE,31-40,283
06/30/2020 12:00:00 AM,Scullin    ,MALE,41-50,180
06/30/2020 12:00:00 AM,Scullin    ,MALE,51-60,120
06/30/2020 12:00:00 AM,Scullin    ,MALE,60+,234
06/30/2018 12:00:00 AM,Hall       ,FEMALE,0-10,13
06/30/2018 12:00:00 AM,Hall       ,FEMALE,11-20,25
06/30/2018 12:00:00 AM,Hall       ,FEMALE,21-30,11
06/30/2018 12:00:00 AM,Hall       ,FEMALE,31-40,29
06/30/2018 12:00:00 AM,Hall       ,FEMALE,41-50,24
06/30/2018 12:00:00 AM,Hall       ,FEMALE,51-60,23
06/30/2018 12:00:00 AM,Hall       ,FEMALE,60+,46
06/30/2018 12:00:00 AM,Hall       ,MALE,0-10,13
06/30/2018 12:00:00 AM,Hall       ,MALE,11-20,26
06/30/2018 12:00:00 AM,Hall       ,MALE,21-30,13
06/30/2018 12:00:00 AM,Hall       ,MALE,31-40,19
06/30/2018 12:00:00 AM,Hall       ,MALE,41-50,23
06/30/2018 12:00:00 AM,Hall       ,MALE,51-60,16
06/30/2018 12:00:00 AM,Hall       ,MALE,60+,58
06/30/2015 12:00:00 AM,Spence     ,FEMALE,0-10,173
06/30/2015 12:00:00 AM,Spence     ,FEMALE,11-20,157
06/30/2015 12:00:00 AM,Spence     ,FEMALE,21-30,158
06/30/2015 12:00:00 AM,Spence     ,FEMALE,31-40,219
06/30/2015 12:00:00 AM,Spence     ,FEMALE,41-50,173
06/30/2015 12:00:00 AM,Spence     ,FEMALE,51-60,156
06/30/2015 12:00:00 AM,Spence     ,FEMALE,60+,287
06/30/2015 12:00:00 AM,Spence     ,MALE,0-10,230
06/30/2015 12:00:00 AM,Spence     ,MALE,11-20,166
06/30/2015 12:00:00 AM,Spence     ,MALE,21-30,162
06/30/2015 12:00:00 AM,Spence     ,MALE,31-40,226
06/30/2015 12:00:00 AM,Spence     ,MALE,41-50,172
06/30/2015 12:00:00 AM,Spence     ,MALE,51-60,114
06/30/2015 12:00:00 AM,Spence     ,MALE,60+,225
06/30/2016 12:00:00 AM,Spence     ,FEMALE,0-10,171
06/30/2016 12:00:00 AM,Spence     ,FEMALE,11-20,157
06/30/2016 12:00:00 AM,Spence     ,FEMALE,21-30,148
06/30/2016 12:00:00 AM,Spence     ,FEMALE,31-40,218
06/30/2016 12:00:00 AM,Spence     ,FEMALE,41-50,176
06/30/2016 12:00:00 AM,Spence     ,FEMALE,51-60,154
06/30/2016 12:00:00 AM,Spence     ,FEMALE,60+,284
06/30/2016 12:00:00 AM,Spence     ,MALE,0-10,228
06/30/2016 12:00:00 AM,Spence     ,MALE,11-20,167
06/30/2016 12:00:00 AM,Spence     ,MALE,21-30,153
06/30/2016 12:00:00 AM,Spence     ,MALE,31-40,223
06/30/2016 12:00:00 AM,Spence     ,MALE,41-50,180
06/30/2016 12:00:00 AM,Spence     ,MALE,51-60,111
06/30/2016 12:00:00 AM,Spence     ,MALE,60+,221
06/30/2017 12:00:00 AM,Spence     ,FEMALE,0-10,168
06/30/2017 12:00:00 AM,Spence     ,FEMALE,11-20,159
06/30/2017 12:00:00 AM,Spence     ,FEMALE,21-30,138
06/30/2017 12:00:00 AM,Spence     ,FEMALE,31-40,222
06/30/2017 12:00:00 AM,Spence     ,FEMALE,41-50,174
06/30/2017 12:00:00 AM,Spence     ,FEMALE,51-60,148
06/30/2017 12:00:00 AM,Spence     ,FEMALE,60+,286
06/30/2017 12:00:00 AM,Spence     ,MALE,0-10,220
06/30/2017 12:00:00 AM,Spence     ,MALE,11-20,175
06/30/2017 12:00:00 AM,Spence     ,MALE,21-30,143
06/30/2017 12:00:00 AM,Spence     ,MALE,31-40,216
06/30/2017 12:00:00 AM,Spence     ,MALE,41-50,184
06/30/2017 12:00:00 AM,Spence     ,MALE,51-60,113
06/30/2017 12:00:00 AM,Spence     ,MALE,60+,218
06/30/2018 12:00:00 AM,Spence     ,FEMALE,0-10,166
06/30/2018 12:00:00 AM,Spence     ,FEMALE,11-20,158
06/30/2018 12:00:00 AM,Spence     ,FEMALE,21-30,131
06/30/2018 12:00:00 AM,Spence     ,FEMALE,31-40,220
06/30/2018 12:00:00 AM,Spence     ,FEMALE,41-50,176
06/30/2018 12:00:00 AM,Spence     ,FEMALE,51-60,145
06/30/2018 12:00:00 AM,Spence     ,FEMALE,60+,286
06/30/2018 12:00:00 AM,Spence     ,MALE,0-10,214
06/30/2018 12:00:00 AM,Spence     ,MALE,11-20,172
06/30/2018 12:00:00 AM,Spence     ,MALE,21-30,141
06/30/2018 12:00:00 AM,Spence     ,MALE,31-40,213
06/30/2018 12:00:00 AM,Spence     ,MALE,41-50,188
06/30/2018 12:00:00 AM,Spence     ,MALE,51-60,113
06/30/2018 12:00:00 AM,Spence     ,MALE,60+,217
06/30/2019 12:00:00 AM,Spence     ,FEMALE,0-10,168
06/30/2019 12:00:00 AM,Spence     ,FEMALE,11-20,154
06/30/2019 12:00:00 AM,Spence     ,FEMALE,21-30,129
06/30/2019 12:00:00 AM,Spence     ,FEMALE,31-40,213
06/30/2019 12:00:00 AM,Spence     ,FEMALE,41-50,181
06/30/2019 12:00:00 AM,Spence     ,FEMALE,51-60,140
06/30/2019 12:00:00 AM,Spence     ,FEMALE,60+,285
06/30/2019 12:00:00 AM,Spence     ,MALE,0-10,208
06/30/2019 12:00:00 AM,Spence     ,MALE,11-20,174
06/30/2019 12:00:00 AM,Spence     ,MALE,21-30,132
06/30/2019 12:00:00 AM,Spence     ,MALE,31-40,209
06/30/2019 12:00:00 AM,Spence     ,MALE,41-50,190
06/30/2019 12:00:00 AM,Spence     ,MALE,51-60,118
06/30/2019 12:00:00 AM,Spence     ,MALE,60+,215
06/30/2020 12:00:00 AM,Spence     ,FEMALE,0-10,171
06/30/2020 12:00:00 AM,Spence     ,FEMALE,11-20,146
06/30/2020 12:00:00 AM,Spence     ,FEMALE,21-30,130
06/30/2020 12:00:00 AM,Spence     ,FEMALE,31-40,206
06/30/2020 12:00:00 AM,Spence     ,FEMALE,41-50,182
06/30/2020 12:00:00 AM,Spence     ,FEMALE,51-60,141
06/30/2020 12:00:00 AM,Spence     ,FEMALE,60+,282
06/30/2020 12:00:00 AM,Spence     ,MALE,0-10,204
06/30/2020 12:00:00 AM,Spence     ,MALE,11-20,178
06/30/2020 12:00:00 AM,Spence     ,MALE,21-30,122
06/30/2020 12:00:00 AM,Spence     ,MALE,31-40,205
06/30/2020 12:00:00 AM,Spence     ,MALE,41-50,188
06/30/2020 12:00:00 AM,Spence     ,MALE,51-60,121
06/30/2020 12:00:00 AM,Spence     ,MALE,60+,217
06/30/2015 12:00:00 AM,Weetangera ,FEMALE,0-10,189
06/30/2015 12:00:00 AM,Weetangera ,FEMALE,11-20,178
06/30/2015 12:00:00 AM,Weetangera ,FEMALE,21-30,116
06/30/2015 12:00:00 AM,Weetangera ,FEMALE,31-40,150
06/30/2015 12:00:00 AM,Weetangera ,FEMALE,41-50,187
06/30/2015 12:00:00 AM,Weetangera ,FEMALE,51-60,172
06/30/2015 12:00:00 AM,Weetangera ,FEMALE,60+,338
06/30/2015 12:00:00 AM,Weetangera ,MALE,0-10,197
06/30/2015 12:00:00 AM,Weetangera ,MALE,11-20,155
06/30/2015 12:00:00 AM,Weetangera ,MALE,21-30,154
06/30/2015 12:00:00 AM,Weetangera ,MALE,31-40,119
06/30/2015 12:00:00 AM,Weetangera ,MALE,41-50,229
06/30/2015 12:00:00 AM,Weetangera ,MALE,51-60,160
06/30/2015 12:00:00 AM,Weetangera ,MALE,60+,282
06/30/2019 12:00:00 AM,Hall       ,FEMALE,0-10,13
06/30/2019 12:00:00 AM,Hall       ,FEMALE,11-20,25
06/30/2019 12:00:00 AM,Hall       ,FEMALE,21-30,11
06/30/2019 12:00:00 AM,Hall       ,FEMALE,31-40,29
06/30/2019 12:00:00 AM,Hall       ,FEMALE,41-50,24
06/30/2019 12:00:00 AM,Hall       ,FEMALE,51-60,23
06/30/2019 12:00:00 AM,Hall       ,FEMALE,60+,46
06/30/2019 12:00:00 AM,Hall       ,MALE,0-10,13
06/30/2019 12:00:00 AM,Hall       ,MALE,11-20,26
06/30/2019 12:00:00 AM,Hall       ,MALE,21-30,13
06/30/2019 12:00:00 AM,Hall       ,MALE,31-40,19
06/30/2019 12:00:00 AM,Hall       ,MALE,41-50,23
06/30/2019 12:00:00 AM,Hall       ,MALE,51-60,16
06/30/2019 12:00:00 AM,Hall       ,MALE,60+,58
06/30/2016 12:00:00 AM,Weetangera ,FEMALE,0-10,181
06/30/2016 12:00:00 AM,Weetangera ,FEMALE,11-20,184
06/30/2016 12:00:00 AM,Weetangera ,FEMALE,21-30,114
06/30/2016 12:00:00 AM,Weetangera ,FEMALE,31-40,139
06/30/2016 12:00:00 AM,Weetangera ,FEMALE,41-50,191
06/30/2016 12:00:00 AM,Weetangera ,FEMALE,51-60,168
06/30/2016 12:00:00 AM,Weetangera ,FEMALE,60+,339
06/30/2016 12:00:00 AM,Weetangera ,MALE,0-10,190
06/30/2016 12:00:00 AM,Weetangera ,MALE,11-20,164
06/30/2016 12:00:00 AM,Weetangera ,MALE,21-30,141
06/30/2016 12:00:00 AM,Weetangera ,MALE,31-40,122
06/30/2016 12:00:00 AM,Weetangera ,MALE,41-50,227
06/30/2016 12:00:00 AM,Weetangera ,MALE,51-60,157
06/30/2016 12:00:00 AM,Weetangera ,MALE,60+,283
06/30/2017 12:00:00 AM,Weetangera ,FEMALE,0-10,178
06/30/2017 12:00:00 AM,Weetangera ,FEMALE,11-20,179
06/30/2017 12:00:00 AM,Weetangera ,FEMALE,21-30,115
06/30/2017 12:00:00 AM,Weetangera ,FEMALE,31-40,134
06/30/2017 12:00:00 AM,Weetangera ,FEMALE,41-50,194
06/30/2017 12:00:00 AM,Weetangera ,FEMALE,51-60,161
06/30/2017 12:00:00 AM,Weetangera ,FEMALE,60+,344
06/30/2017 12:00:00 AM,Weetangera ,MALE,0-10,182
06/30/2017 12:00:00 AM,Weetangera ,MALE,11-20,170
06/30/2017 12:00:00 AM,Weetangera ,MALE,21-30,131
06/30/2017 12:00:00 AM,Weetangera ,MALE,31-40,126
06/30/2017 12:00:00 AM,Weetangera ,MALE,41-50,220
06/30/2017 12:00:00 AM,Weetangera ,MALE,51-60,157
06/30/2017 12:00:00 AM,Weetangera ,MALE,60+,287
06/30/2018 12:00:00 AM,Weetangera ,FEMALE,0-10,177
06/30/2018 12:00:00 AM,Weetangera ,FEMALE,11-20,165
06/30/2018 12:00:00 AM,Weetangera ,FEMALE,21-30,119
06/30/2018 12:00:00 AM,Weetangera ,FEMALE,31-40,130
06/30/2018 12:00:00 AM,Weetangera ,FEMALE,41-50,197
06/30/2018 12:00:00 AM,Weetangera ,FEMALE,51-60,158
06/30/2018 12:00:00 AM,Weetangera ,FEMALE,60+,348
06/30/2018 12:00:00 AM,Weetangera ,MALE,0-10,171
06/30/2018 12:00:00 AM,Weetangera ,MALE,11-20,183
06/30/2018 12:00:00 AM,Weetangera ,MALE,21-30,121
06/30/2018 12:00:00 AM,Weetangera ,MALE,31-40,130
06/30/2018 12:00:00 AM,Weetangera ,MALE,41-50,214
06/30/2018 12:00:00 AM,Weetangera ,MALE,51-60,153
06/30/2018 12:00:00 AM,Weetangera ,MALE,60+,288
06/30/2019 12:00:00 AM,Weetangera ,FEMALE,0-10,174
06/30/2019 12:00:00 AM,Weetangera ,FEMALE,11-20,163
06/30/2019 12:00:00 AM,Weetangera ,FEMALE,21-30,114
06/30/2019 12:00:00 AM,Weetangera ,FEMALE,31-40,130
06/30/2019 12:00:00 AM,Weetangera ,FEMALE,41-50,195
06/30/2019 12:00:00 AM,Weetangera ,FEMALE,51-60,158
06/30/2019 12:00:00 AM,Weetangera ,FEMALE,60+,348
06/30/2019 12:00:00 AM,Weetangera ,MALE,0-10,165
06/30/2019 12:00:00 AM,Weetangera ,MALE,11-20,187
06/30/2019 12:00:00 AM,Weetangera ,MALE,21-30,114
06/30/2019 12:00:00 AM,Weetangera ,MALE,31-40,131
06/30/2019 12:00:00 AM,Weetangera ,MALE,41-50,209
06/30/2019 12:00:00 AM,Weetangera ,MALE,51-60,150
06/30/2019 12:00:00 AM,Weetangera ,MALE,60+,292
06/30/2020 12:00:00 AM,Weetangera ,FEMALE,0-10,169
06/30/2020 12:00:00 AM,Weetangera ,FEMALE,11-20,162
06/30/2020 12:00:00 AM,Weetangera ,FEMALE,21-30,110
06/30/2020 12:00:00 AM,Weetangera ,FEMALE,31-40,128
06/30/2020 12:00:00 AM,Weetangera ,FEMALE,41-50,191
06/30/2020 12:00:00 AM,Weetangera ,FEMALE,51-60,157
06/30/2020 12:00:00 AM,Weetangera ,FEMALE,60+,351
06/30/2020 12:00:00 AM,Weetangera ,MALE,0-10,168
06/30/2020 12:00:00 AM,Weetangera ,MALE,11-20,182
06/30/2020 12:00:00 AM,Weetangera ,MALE,21-30,109
06/30/2020 12:00:00 AM,Weetangera ,MALE,31-40,131
06/30/2020 12:00:00 AM,Weetangera ,MALE,41-50,200
06/30/2020 12:00:00 AM,Weetangera ,MALE,51-60,153
06/30/2020 12:00:00 AM,Weetangera ,MALE,60+,294
06/30/2015 12:00:00 AM,ACT South West,FEMALE,0-10,280
06/30/2015 12:00:00 AM,ACT South West,FEMALE,11-20,168
06/30/2015 12:00:00 AM,ACT South West,FEMALE,21-30,565
06/30/2015 12:00:00 AM,ACT South West,FEMALE,31-40,392
06/30/2015 12:00:00 AM,ACT South West,FEMALE,41-50,209
06/30/2015 12:00:00 AM,ACT South West,FEMALE,51-60,92
06/30/2015 12:00:00 AM,ACT South West,FEMALE,60+,57
06/30/2015 12:00:00 AM,ACT South West,MALE,0-10,288
06/30/2015 12:00:00 AM,ACT South West,MALE,11-20,162
06/30/2015 12:00:00 AM,ACT South West,MALE,21-30,697
